GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,B18AA,B18AB,B18AC,B18AD,B18AE
"G420","2010","Pennsylvania","42","420","Pennsylvania",10406288,1377689,26843,653724,237835
"G440","2010","Rhode Island","44","440","Rhode Island",856869,60189,6058,94664,34787
"G450","2010","South Carolina","45","450","South Carolina",3060000,1290684,19524,175221,79935
"G460","2010","South Dakota","46","460","South Dakota",699392,10207,71817,15481,17283
"G470","2010","Tennessee","47","470","Tennessee",4921948,1057315,19994,236839,110009
"G480","2010","Texas","48","480","Texas",17701552,2979598,170972,3614438,679001
"G490","2010","Utah","49","490","Utah",2379560,29287,32927,246593,75518
"G500","2010","Vermont","50","500","Vermont",596292,6277,2207,10212,10753
"G510","2010","Virginia","51","510","Virginia",5486852,1551399,29225,700148,233400
"G530","2010","Washington","53","530","Washington",5196362,240042,103869,871341,312926
"G540","2010","West Virginia","54","540","West Virginia",1739988,63124,3787,18953,27142
"G550","2010","Wisconsin","55","550","Wisconsin",4902067,359148,54526,266928,104317
"G560","2010","Wyoming","56","560","Wyoming",511279,4748,13336,21902,12361
"G720","2010","Puerto Rico","72","720","Puerto Rico",2825100,461498,19839,297106,122246
