Query,Time,Value,Unit
"name=""mitt romney""and channel=""MSNBC""",2012-02-20,8488.028000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-02-27,13888.561999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-03-05,11052.973000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-03-12,9202.191000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-03-19,10596.296000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-03-26,6136.845,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-04-02,12512.545999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-04-09,7638.547,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-04-16,17794.733000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-04-23,14117.346000000009,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-04-30,8287.474000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-05-07,12594.423,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-05-14,10709.707000000006,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-05-21,9894.720000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-05-28,6835.905999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-06-04,6362.587,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-06-11,8836.407000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-06-18,10989.763000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-06-25,6196.094000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-07-02,8155.318000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-07-09,14417.195000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-07-16,10610.529000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-07-23,13743.378999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-07-30,7617.581000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-08-06,9088.710000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-08-13,10656.169000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-08-20,10899.212000000005,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-08-27,11922.282000000007,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-09-03,6421.357000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-09-10,20201.584000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-09-17,17321.40400000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-09-24,19640.718999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-10-01,26107.340999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-10-08,15238.080000000004,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-10-15,19472.38599999999,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-10-22,22594.267999999993,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-10-29,16659.488,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-11-05,6178.820000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-11-12,4004.8110000000006,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-11-19,1416.5619999999994,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-11-26,1739.7679999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-12-03,534.2089999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-12-10,788.086,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-12-17,285.165,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-12-24,1300.5889999999997,seconds
"name=""mitt romney""and channel=""MSNBC""",2012-12-31,755.0270000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-01-07,123.066,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-01-14,135.072,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-01-21,625.6960000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-01-28,270.10499999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-02-04,126.072,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-02-11,339.225,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-02-18,594.162,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-02-25,939.612,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-03-04,1790.2330000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-03-11,2576.929,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-03-18,510.34799999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-03-25,162.10800000000003,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-04-01,135.08100000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-04-08,81.036,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-04-15,9.006,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-04-22,50.421,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-04-29,219.14100000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-05-06,108.06,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-05-13,30.009,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-05-20,69.036,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-05-27,220.67999999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-06-03,562.0880000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-06-10,60.039,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-06-17,84.048,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-06-24,195.16499999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-07-01,230.70000000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-07-08,42.012,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-07-15,69.048,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-07-22,21.012,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-07-29,133.583,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-08-05,759.2090000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-08-12,306.192,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-08-19,108.075,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-08-26,39.012,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-09-02,39.027,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-09-09,21.006,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-09-16,68.438,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-09-23,78.024,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-09-30,36.021,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-10-07,199.87099999999998,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-10-14,147.10500000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-10-21,197.89599999999996,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-10-28,1562.5800000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-11-04,2656.3540000000016,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-11-11,645.332,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-11-18,111.075,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-11-25,46.911,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-12-02,18.009,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-12-09,132.08100000000002,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-12-16,222.12,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-12-23,20.636,seconds
"name=""mitt romney""and channel=""MSNBC""",2013-12-30,120.194,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-01-06,69.03,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-01-13,78.039,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-01-20,597.3120000000001,seconds
"name=""mitt romney""and channel=""MSNBC""",2014-01-27,228.171,seconds
