"weekly_correlation","solution_diff","solved_ifr","it","initial_r0","incubation_period","distancing_effect","prop_susceptible","initial_shutdown","missing_death_rate"
0.86674411145922,1.92307692307804,0.00107001736684991,870,3,5.5,0.6,0.6,2020-03-09,0.35
0.843988862208518,2,0.033660716491015,3106,2,4.5,0.4,0.4,2020-03-07,0.5
0.945800530133673,2.07692307692196,0.0313778682732336,398,2.5,6,0.7,0.6,2020-03-07,0.35
0.91072965233752,2.07692307692196,0.00210713388418072,14,2.75,5,0.4,0.3,2020-03-07,0.35
0.860092401015293,2.07692307692196,0.00314552068155531,558,2.5,4.5,0.6,0.3,2020-03-09,0.35
0.877771633450223,2.33333333332848,0.00914792595767073,1357,2.25,4.5,0.6,0.6,2020-03-07,0.4
0.8554078896594,2.33333333332848,0.0353893234170294,1676,2,4,0.7,0.4,2020-03-09,0.4
0.771376513355431,2.44444444444525,0.012618714202955,4817,2.25,5.5,0.4,0.6,2020-03-09,0.55
0.416074011639992,2.44444444444525,0.00101331131155129,4405,3,4,0.4,0.7,2020-03-07,0.55
0.913713051989988,2.45454545454413,0.00175817001774199,2645,3,5.5,0.5,0.4,2020-03-09,0.45
0.402558017098595,2.54545454545587,0.00144549739773701,2655,3,4,0.6,0.4,2020-03-09,0.45
0.80243046513942,2.55555555555475,0.00204763918681451,4284,2.75,4.5,0.7,0.5,2020-03-07,0.55
0.844719838459449,2.66666666667152,0.00128445013059343,1944,2.75,5.5,0.5,0.7,2020-03-09,0.4
0.578793155315823,2.66666666667152,0.0011626556470319,1285,3,4.5,0.7,0.5,2020-03-07,0.4
0.907446079106075,2.92307692307804,0.00149279850260988,764,2.75,5,0.6,0.5,2020-03-09,0.35
0.922423807076702,3,0.00158835524252485,3339,2.75,5,0.5,0.6,2020-03-07,0.5
0.589472020175869,3,0.00227825809072812,3060,3,4.5,0.6,0.3,2020-03-07,0.5
0.856608198176724,3.07692307692196,0.00704561293960136,982,2.25,4.5,0.7,0.7,2020-03-09,0.35
0.85338350889238,3.07692307692196,0.00477829490580647,788,2.5,5,0.7,0.5,2020-03-09,0.35
0.942286226643585,3.33333333332848,0.0299980850433543,1173,2.5,6,0.6,0.4,2020-03-07,0.4
0.927038419894703,3.45454545454413,0.00108669645130684,2445,3,5.5,0.5,0.7,2020-03-07,0.45
0.865280150034833,3.45454545454413,0.00555076499482082,2899,2.75,6,0.7,0.6,2020-03-09,0.45
0.859039791890465,3.54545454545587,0.00329030748260718,2863,2.5,5,0.6,0.6,2020-03-09,0.45
0.418330995444979,3.55555555555475,0.00176759335542411,4655,3,4,0.6,0.4,2020-03-09,0.55
0.869157907830081,3.66666666667152,0.00149875061142217,1875,3,6,0.6,0.6,2020-03-09,0.4
0.891488797713732,4,0.035845312175141,3173,2.5,6,0.6,0.4,2020-03-07,0.5
0.851494009868485,4.07692307692196,0.0139163612055901,626,2,4,0.5,0.4,2020-03-09,0.35
0.545111294121911,4.07692307692196,0.00126204272566599,660,3,4.5,0.6,0.4,2020-03-09,0.35
0.620017291309937,4.33333333332848,0.00116003991285285,1229,2.75,4,0.5,0.5,2020-03-07,0.4
0.93430728614843,4.44444444444525,0.0211237451895018,4099,2.75,6,0.7,0.3,2020-03-07,0.55
0.733303128868815,4.44444444444525,0.00601465649093849,4723,2.5,6,0.4,0.5,2020-03-09,0.55
0.706965003213206,4.44444444444525,0.00329907637738129,4124,2.75,6,0.4,0.4,2020-03-07,0.55
0.747317540900489,4.55555555555475,0.00451765769140544,4607,2.25,4.5,0.4,0.4,2020-03-09,0.55
0.747207685566126,4.92307692307804,0.00344851229554156,823,2.5,6,0.4,0.6,2020-03-09,0.35
0.878895367252555,5,0.00184365324775087,3109,2.75,4.5,0.4,0.4,2020-03-07,0.5
0.847695306332409,5.07692307692196,0.00364902809776899,774,2.75,6,0.6,0.5,2020-03-09,0.35
0.813871644255213,5.07692307692196,0.0049841474366955,643,2.5,5.5,0.5,0.4,2020-03-09,0.35
0.626041055617789,5.45454545454413,0.00197664924826564,2535,3,4.5,0.5,0.3,2020-03-09,0.45
0.874011785083186,5.54545454545587,0.0376517212061943,2947,2.25,6,0.5,0.7,2020-03-09,0.45
