GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B48001,B48002,B49001,B49002,B49003,B49004,B49005,B49006,B49007,B49008,B49009,B49010,B49011,B49012,B49013,B49014,B49015,B49016,B49017,B49018,B49019,B49020,B49021,B49022,B49023,B49024,B49025,B49026,B49027,B49028,B49029,B49030,B49031,B49032,B49033,B49034,B49035,B49036,B49037,B49038,B49039,B49040,B49041,B49042,B49043,B49044,B49045,B49046,B49047,B49048,B49049,B49050,B49051,B49052,B49053,B49054,B49055,B49056,B49057,B49058,B49059,B49060,B49061,B49062,B49063,B49064,B49065,B49066,B49067,B49068,B49069,B49070,B49071,B49072
"G260","1960","Michigan","260",,"Michigan",7085865,737329,439093,399990,342612,253471,190904,207455,238620,243685,225267,208896,183702,165182,136426,116386,83763,49174,23397,12399,422613,382850,329113,262164,214909,216112,242725,253878,233752,209366,181624,159119,136311,119790,91280,59173,31706,18958,54038,48041,35876,23206,17866,22922,27363,28618,24541,21869,17026,14979,10426,7427,4453,2323,865,607,53403,48218,35949,25287,23454,27299,30154,29417,25215,21066,15947,13307,9684,7313,4589,2609,1097,875
"G270","1960","Minnesota","270",,"Minnesota",3371603,42261,208160,191185,163291,121442,89128,94185,101191,103615,99959,95806,87010,78062,71070,63775,49170,30381,15387,8676,201094,183777,157130,126783,102925,95786,102275,104799,102680,96359,87648,80453,73914,66595,52211,34504,19124,12053,3439,2838,2127,1548,1346,1577,1545,1432,1197,1068,824,681,571,485,390,235,100,66,3312,2850,2162,1579,1484,1612,1476,1317,1032,916,708,644,501,460,315,240,104,80
"G280","1960","Mississippi","280",,"Mississippi",1257546,920595,68028,64499,63954,56470,41513,37132,39146,39598,37490,37542,34773,29032,23115,19833,15214,9967,4986,2719,64584,61977,60659,51176,40324,38406,41213,41647,39314,38729,35413,30637,25377,22481,17603,12338,6740,3917,72691,67032,59340,44893,24925,17659,16861,17072,17889,20060,18622,17296,12832,14370,9396,6711,2975,2298,73109,66493,57904,44155,27998,22581,23203,22973,22755,23424,20849,18866,14882,15631,9996,6989,3210,2655
"G290","1960","Missouri","290",,"Missouri",3922967,396846,207889,190782,173720,141181,112699,109917,117449,122922,116031,117336,110893,100996,85913,76464,60217,40827,21139,12003,199083,183710,167091,139938,115785,113892,122671,130032,124503,122857,117996,109408,96330,89336,72715,51623,29272,18347,29346,23744,18001,13259,10858,10932,11551,11437,10187,10319,9429,8784,6968,5890,4323,2836,1213,824,29443,23769,18390,13944,12987,13582,14134,13689,12145,11518,10287,9516,7159,6533,4393,2987,1415,1054
"G300","1960","Montana","300",,"Montana",650738,24029,39969,37191,32459,24303,18730,18666,20531,21159,21437,20180,17333,14727,11712,11354,10446,6684,3002,1491,38738,36249,31694,24308,19086,18637,19854,20392,20736,18823,15293,13112,11221,11023,9419,6009,3022,1748,2215,1846,1440,1126,906,762,710,635,519,490,402,352,297,221,198,137,67,46,2180,1762,1449,1030,856,817,634,587,510,446,307,301,228,199,136,113,55,50
"G310","1960","Nebraska","310",,"Nebraska",1374764,36566,78704,72433,63689,48827,39037,39697,42244,42971,40025,38717,36687,33145,30241,27424,21840,14217,7454,4251,75561,70356,61028,49000,41158,40119,41936,42586,40921,39337,37664,34444,32429,30159,24163,16838,9401,6061,3007,2328,1783,1303,1476,1415,1285,1117,904,801,691,623,525,448,356,207,97,57,2935,2294,1707,1153,1303,1394,1354,1165,954,839,694,621,547,443,316,207,122,95
"G320","1960","Nevada","320",,"Nevada",263443,21835,14785,13395,11799,8846,8527,8925,9620,10403,10215,9938,8194,6960,5327,4030,2665,1533,779,357,14533,12694,11636,8482,8219,8758,9464,10497,9754,8740,7069,5366,3941,3082,2275,1492,758,385,1851,1354,962,967,957,923,807,709,609,546,438,417,250,211,100,63,32,27,1891,1334,1009,901,923,892,833,601,561,519,310,297,157,173,102,56,20,33
"G330","1960","New Hampshire","330",,"New Hampshire",604334,2587,33475,30589,28583,22352,17449,16881,18337,19493,19004,17678,15973,14436,12720,11314,8331,5424,2939,1684,32185,29098,27708,21861,16794,17227,19212,20558,19387,18435,17202,15421,14652,13008,10275,7194,4362,3093,239,127,70,77,292,219,124,85,52,32,37,30,25,13,10,4,2,7,221,131,83,70,136,161,105,68,36,27,22,20,17,20,11,8,3,3
"G340","1960","New Jersey","340",,"New Jersey",5539003,527779,289161,266953,243804,181904,138343,155466,190796,209240,201258,187125,162354,139710,116871,96645,70132,39815,18556,9379,278961,255345,233834,178545,143891,164724,201805,222996,212019,191166,164676,143573,130906,114420,85432,53626,28324,17248,37078,29670,23170,17348,17681,19491,20033,19392,15818,13650,11287,10217,7198,5451,3537,1979,933,546,36997,30244,23572,18566,21139,22692,22446,20801,17044,14780,12214,10612,7802,5941,4048,2380,1219,803
"G350","1960","New Mexico","350",,"New Mexico",875763,75260,62282,55718,47853,34974,31359,30870,30719,30030,26380,23123,18714,15147,11291,9432,7086,4260,1952,1162,60590,53815,46348,34468,30345,30246,30529,30135,25332,22485,18251,14891,11366,9689,6935,4352,2206,1428,6556,5592,4592,3254,3129,2615,2189,1955,1631,1410,1113,1115,711,610,410,291,132,113,6732,5942,4669,3540,3054,2807,2437,1968,1530,1414,1015,970,552,480,306,197,100,129
