,Year,dem_congress,tax_cut,tax_increase,unified_congress,unified_government,pct_of_year_in_recession,recession_year,value_GGNLEND,last_value_GGNLEND,diff_value_GGNLEND,pct_change_GGNLEND,lag_pct_change_GGNLEND,lag_diff_value_GGNLEND,value_real_per_capita_gdp_growth,lag_value_real_per_capita_gdp_growth,value_NY.GDP.MKTP.KD.ZG,value_NY.GDP.PCAP.KD.ZG,last_value_NY.GDP.MKTP.KD.ZG,last_value_NY.GDP.PCAP.KD.ZG,diff_value_NY.GDP.MKTP.KD.ZG,diff_value_NY.GDP.PCAP.KD.ZG,pct_change_NY.GDP.MKTP.KD.ZG,pct_change_NY.GDP.PCAP.KD.ZG,lag_pct_change_NY.GDP.MKTP.KD.ZG,lag_pct_change_NY.GDP.PCAP.KD.ZG,lag_diff_value_NY.GDP.MKTP.KD.ZG,lag_diff_value_NY.GDP.PCAP.KD.ZG,z_value_NY.GDP.PCAP.KD.ZG,lag_z_value_NY.GDP.PCAP.KD.ZG,real_gdp_per_capita_z,lag_real_gdp_per_capita_z,value_top_tax_rate,last_value_top_tax_rate,diff_value_top_tax_rate,pct_change_top_tax_rate,lag_pct_change_top_tax_rate,lag_diff_value_top_tax_rate,value_GGEXP,last_value_GGEXP,diff_value_GGEXP,pct_change_GGEXP,lag_pct_change_GGEXP,lag_diff_value_GGEXP,value_GGREV,last_value_GGREV,diff_value_GGREV,pct_change_GGREV,lag_pct_change_GGREV,lag_diff_value_GGREV,president_dem
diff_value_NY.GDP.MKTP.KD.ZG,0.053605443,-0.037505985,0.015679738,0.003787486,0.022855218,0.020593668,-0.440601991,-0.503276436,-0.159816033,-0.345205027,0.297447192,0.134652781,0.13026129,-0.419493267,0.651882344,-0.175921781,0.550147469,0.560732207,-0.578063952,-0.579995603,1,0.999453811,-0.374256894,0.060642956,0.246572618,0.085252027,-0.286823123,-0.279979089,0.560732207,-0.579995603,0.651882344,-0.175921781,-0.075959008,-0.134765031,0.169577808,0.106144157,-0.264524162,-0.370327817,0.132781584,0.350272727,-0.441054752,-0.454733543,0.427022996,0.417916205,-0.126910686,-0.146474733,0.031398649,0.029225808,-0.312497005,-0.312848418,-0.049173478
diff_value_NY.GDP.PCAP.KD.ZG,0.06106821,-0.045091558,0.019540254,0.005537525,0.017279755,0.026203811,-0.444888005,-0.507680244,-0.162942532,-0.346194815,0.29399388,0.127611538,0.126293102,-0.424784257,0.650641477,-0.180192985,0.545369852,0.556936873,-0.582123078,-0.584320341,0.999453811,1,-0.366757111,0.064895956,0.245988666,0.089755258,-0.284754912,-0.277532517,0.556936873,-0.584320341,0.650641477,-0.180192985,-0.06942275,-0.128440592,0.169152022,0.106771642,-0.256681401,-0.364926157,0.137306989,0.353580396,-0.438684902,-0.451660665,0.429833011,0.420763671,-0.125884691,-0.142764855,0.027639832,0.025637755,-0.31981025,-0.320198865,-0.04148632
pct_change_NY.GDP.MKTP.KD.ZG,0.212254632,-0.070052011,-0.010096951,-0.37277007,0.042876437,0.233147668,0.027709137,0.082389866,-0.103740152,-0.015722634,-0.142125832,0.023111819,-0.033504738,0.010362304,-0.117762948,0.05566703,-0.211555222,-0.1780834,0.210814947,0.239880963,-0.374256894,-0.366757111,1,0.060521729,-0.014970238,0.047190404,0.151980631,0.161928353,-0.1780834,0.239880963,-0.117762948,0.05566703,0.041857843,0.070585743,-0.083565203,-0.15071329,0.040777407,0.04844487,0.081444914,0.042029157,0.077937101,0.067967417,-0.084837941,-0.079521205,-0.091019273,0.0400818,-0.178883387,-0.178979198,-0.084998616,-0.089477477,0.250747486
pct_change_NY.GDP.PCAP.KD.ZG,0.069389169,-0.113285202,0.263383818,-0.065369169,-0.211764297,-0.099876726,-0.095667659,-0.107101709,-0.003388916,0.191181313,-0.313041357,0.284458684,-0.893613275,-0.20734985,-0.039874448,-0.197224935,-0.077172885,-0.073577625,-0.143065919,-0.145126413,0.060642956,0.064895956,0.060521729,1,0.017099794,-0.018058627,-0.211821233,-0.202839947,-0.073577625,-0.145126413,-0.039874448,-0.197224935,0.002969143,0.002330527,0.001264035,-0.014088426,-0.007638014,0.005127035,-0.056669395,-0.126217802,0.1413073,0.147670457,0.190723404,0.174747313,-0.110958702,0.202629432,-0.431455847,-0.419117665,-0.189626567,-0.199341511,-0.139056881
lag_pct_change_NY.GDP.MKTP.KD.ZG,0.316065013,-0.174110893,0.041145091,-0.270690236,-0.005448015,-0.151709955,0.026797571,0.018514659,-0.104634784,-0.083361538,-0.034752272,-0.029185797,0.024688187,-0.214744112,-0.009038189,-0.16331727,-0.01559219,0.011685619,-0.290323269,-0.266179203,0.246572618,0.245988666,-0.014970238,0.017099794,1,0.075334922,-0.500979596,-0.495779978,0.011685619,-0.266179203,-0.009038189,-0.16331727,-0.195695338,-0.149899513,-0.093267242,-0.246025686,-0.129221773,-0.07947082,0.177108176,0.143355477,0.064709476,0.065631936,0.170083378,0.174781123,0.081030748,0.070001123,0.012592845,0.016488952,-0.219643085,-0.21515982,-0.099110434
lag_pct_change_NY.GDP.PCAP.KD.ZG,0.086422531,-0.11810923,0.264827715,-0.063092854,0.118576345,0.22103841,-0.085690786,-0.097313003,-0.062249067,-0.004911845,-0.092558089,0.046901182,0.288302716,-0.327442824,0.122393581,-0.044446461,0.010887139,0.021247805,-0.084472476,-0.080527464,0.085252027,0.089755258,0.047190404,-0.018058627,0.075334922,1,0.040359702,0.04422705,0.021247805,-0.080527464,0.122393581,-0.044446461,-0.058038609,-0.012221681,-0.114278137,-0.135313348,-0.016303524,-0.001132806,-0.017088261,-0.049433799,0.0655439,0.065398113,0.152896282,0.146611625,-0.174666109,-0.099654099,-0.098247008,-0.104099557,-0.478872343,-0.496485745,-0.145393879
lag_diff_value_NY.GDP.MKTP.KD.ZG,-0.065134363,-0.072783065,-0.078629701,0.043468236,0.01821094,0.063815686,-0.194594558,-0.204792735,0.051317909,-0.145231662,0.316467533,-0.072838647,0.114555262,0.358526568,0.095307436,0.643672755,0.264309422,0.272760975,0.578264105,0.58785538,-0.286823123,-0.284754912,0.151980631,-0.211821233,-0.500979596,0.040359702,1,0.999531569,0.272760975,0.58785538,0.095307436,0.643672755,0.052433717,0.06133902,-0.03191057,0.035977837,0.106759995,0.169112205,-0.106374618,0.067394817,-0.348373427,-0.346556216,-0.48913599,-0.474952014,-0.075254408,-0.205006274,0.182578378,0.181777699,0.102136829,0.101942093,0.170068383
lag_diff_value_NY.GDP.PCAP.KD.ZG,-0.058861915,-0.086294003,-0.06780646,0.034154437,0.008510826,0.063870512,-0.19692585,-0.211501065,0.048749146,-0.147981162,0.316745342,-0.073460234,0.107824242,0.355621636,0.097207459,0.642360071,0.267708388,0.277566169,0.573949921,0.584400027,-0.279979089,-0.277532517,0.161928353,-0.202839947,-0.495779978,0.04422705,0.999531569,1,0.277566169,0.584400027,0.097207459,0.642360071,0.058043875,0.067527366,-0.034318178,0.030978291,0.107390275,0.168735691,-0.105417875,0.071274703,-0.354285674,-0.352170698,-0.48637398,-0.472824368,-0.07943739,-0.204218511,0.175820457,0.175207211,0.099096331,0.09869919,0.172061714
z_value_NY.GDP.PCAP.KD.ZG,-0.227455157,-0.103036993,-0.089591137,-0.095621809,0.127998352,-0.012335496,-0.554957795,-0.645142921,0.392842111,-0.002808076,0.638503347,-0.103229661,0.034508411,0.202558243,0.840794053,0.652455742,0.994593471,1,0.346295723,0.348584883,0.560732207,0.556936873,-0.1780834,-0.073577625,0.011685619,0.021247805,0.272760975,0.277566169,1,0.348584883,0.840794053,0.652455742,0.086142398,0.00758158,0.19798494,0.104043345,-0.186121748,-0.215186383,-0.461913379,-0.081267237,-0.758792496,-0.775636968,-0.307344015,-0.300960058,0.065288871,-0.152011337,0.299364771,0.29594977,0.006960067,0.01176367,0.025141072
lag_z_value_NY.GDP.PCAP.KD.ZG,-0.291158329,-0.049790344,-0.109589288,-0.099679757,0.105565215,-0.041623712,-0.040187207,-0.057445041,0.567720222,0.38793549,0.292101667,-0.244873228,-0.108803504,0.677283763,0.087281851,0.840851998,0.35635557,0.348584883,0.995283694,1,-0.579995603,-0.584320341,0.239880963,-0.145126413,-0.266179203,-0.080527464,0.58785538,0.584400027,0.348584883,1,0.087281851,0.840851998,0.162511738,0.152352456,0.002560958,-0.018832049,0.107806888,0.201561952,-0.606279168,-0.478418856,-0.246351315,-0.248166718,-0.78536592,-0.76889354,0.205853092,0.012581391,0.261313565,0.260236151,0.367704944,0.372837025,0.071382095
