"COU","Country","TAX","Income Tax","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,48.57387,,
"FIN","Finland","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,48.178566,,
"FIN","Finland","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,48.223446,,
"FIN","Finland","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,47.74695,,
"FIN","Finland","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,48.911663,,
"FIN","Finland","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,49.092339,,
"FIN","Finland","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,49.111633,,
"FIN","Finland","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,50.014896,,
"FIN","Finland","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,49.019397,,
"FIN","Finland","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,48.655142,,
"FRA","France","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,40.459297,,
"FRA","France","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,40.285588,,
"FRA","France","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,38.069686,,
"FRA","France","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,37.032811,,
"FRA","France","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,36.686563,,
"FRA","France","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,36.464998,,
"FRA","France","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,37.59068,,
"FRA","France","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,37.60508,,
"FRA","France","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,37.60508,,
"FRA","France","PERS_ITAX","Personal income tax","2009","2009",,,"0","Units",,,37.60508,,
"FRA","France","PERS_ITAX","Personal income tax","2010","2010",,,"0","Units",,,38.351207,,
"FRA","France","PERS_ITAX","Personal income tax","2011","2011",,,"0","Units",,,50.15135,,
"FRA","France","PERS_ITAX","Personal income tax","2012","2012",,,"0","Units",,,53.988232,,
"FRA","France","PERS_ITAX","Personal income tax","2013","2013",,,"0","Units",,,54.0845,,
"FRA","France","PERS_ITAX","Personal income tax","2014","2014",,,"0","Units",,,54.011,,
"FRA","France","PERS_ITAX","Personal income tax","2015","2015",,,"0","Units",,,53.9865,,
"FRA","France","PERS_ITAX","Personal income tax","2016","2016",,,"0","Units",,,53.962,,
"FRA","France","PERS_ITAX","Personal income tax","2017","2017",,,"0","Units",,,53.9375,,
"FRA","France","PERS_ITAX","Personal income tax","2018","2018",,,"0","Units",,,55.172,,
"DEU","Germany","PERS_ITAX","Personal income tax","2000","2000",,,"0","Units",,,53.805,,
"DEU","Germany","PERS_ITAX","Personal income tax","2001","2001",,,"0","Units",,,51.1675,,
"DEU","Germany","PERS_ITAX","Personal income tax","2002","2002",,,"0","Units",,,51.1675,,
"DEU","Germany","PERS_ITAX","Personal income tax","2003","2003",,,"0","Units",,,51.1675,,
"DEU","Germany","PERS_ITAX","Personal income tax","2004","2004",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2005","2005",,,"0","Units",,,43.445955,,
"DEU","Germany","PERS_ITAX","Personal income tax","2006","2006",,,"0","Units",,,43.273146,,
"DEU","Germany","PERS_ITAX","Personal income tax","2007","2007",,,"0","Units",,,47.475,,
"DEU","Germany","PERS_ITAX","Personal income tax","2008","2008",,,"0","Units",,,47.475,,
