"province_state","country_region","lat","long","date","cases","deaths","date_upd","is_country"
NA,"Albania",41.1533,20.1683,"3/3/20",0,0,2020-03-03,TRUE
NA,"Albania",41.1533,20.1683,"3/4/20",0,0,2020-03-04,TRUE
NA,"Albania",41.1533,20.1683,"3/5/20",0,0,2020-03-05,TRUE
NA,"Albania",41.1533,20.1683,"3/6/20",0,0,2020-03-06,TRUE
NA,"Albania",41.1533,20.1683,"3/7/20",0,0,2020-03-07,TRUE
NA,"Albania",41.1533,20.1683,"3/8/20",0,0,2020-03-08,TRUE
NA,"Albania",41.1533,20.1683,"3/9/20",2,0,2020-03-09,TRUE
NA,"Albania",41.1533,20.1683,"3/10/20",10,0,2020-03-10,TRUE
NA,"Albania",41.1533,20.1683,"3/11/20",12,1,2020-03-11,TRUE
NA,"Albania",41.1533,20.1683,"3/12/20",23,1,2020-03-12,TRUE
NA,"Albania",41.1533,20.1683,"3/13/20",33,1,2020-03-13,TRUE
NA,"Albania",41.1533,20.1683,"3/14/20",38,1,2020-03-14,TRUE
NA,"Albania",41.1533,20.1683,"3/15/20",42,1,2020-03-15,TRUE
NA,"Albania",41.1533,20.1683,"3/16/20",51,1,2020-03-16,TRUE
NA,"Albania",41.1533,20.1683,"3/17/20",55,1,2020-03-17,TRUE
NA,"Albania",41.1533,20.1683,"3/18/20",59,2,2020-03-18,TRUE
NA,"Albania",41.1533,20.1683,"3/19/20",64,2,2020-03-19,TRUE
NA,"Albania",41.1533,20.1683,"3/20/20",70,2,2020-03-20,TRUE
NA,"Albania",41.1533,20.1683,"3/21/20",76,2,2020-03-21,TRUE
NA,"Albania",41.1533,20.1683,"3/22/20",89,2,2020-03-22,TRUE
NA,"Albania",41.1533,20.1683,"3/23/20",104,4,2020-03-23,TRUE
NA,"Albania",41.1533,20.1683,"3/24/20",123,5,2020-03-24,TRUE
NA,"Albania",41.1533,20.1683,"3/25/20",146,5,2020-03-25,TRUE
NA,"Albania",41.1533,20.1683,"3/26/20",174,6,2020-03-26,TRUE
NA,"Albania",41.1533,20.1683,"3/27/20",186,8,2020-03-27,TRUE
NA,"Albania",41.1533,20.1683,"3/28/20",197,10,2020-03-28,TRUE
NA,"Albania",41.1533,20.1683,"3/29/20",212,10,2020-03-29,TRUE
NA,"Albania",41.1533,20.1683,"3/30/20",223,11,2020-03-30,TRUE
NA,"Albania",41.1533,20.1683,"3/31/20",243,15,2020-03-31,TRUE
NA,"Albania",41.1533,20.1683,"4/1/20",259,15,2020-04-01,TRUE
NA,"Albania",41.1533,20.1683,"4/2/20",277,16,2020-04-02,TRUE
NA,"Albania",41.1533,20.1683,"4/3/20",304,17,2020-04-03,TRUE
NA,"Albania",41.1533,20.1683,"4/4/20",333,20,2020-04-04,TRUE
NA,"Albania",41.1533,20.1683,"4/5/20",361,20,2020-04-05,TRUE
NA,"Albania",41.1533,20.1683,"4/6/20",377,21,2020-04-06,TRUE
NA,"Albania",41.1533,20.1683,"4/7/20",383,22,2020-04-07,TRUE
NA,"Albania",41.1533,20.1683,"4/8/20",400,22,2020-04-08,TRUE
NA,"Albania",41.1533,20.1683,"4/9/20",409,23,2020-04-09,TRUE
NA,"Albania",41.1533,20.1683,"4/10/20",416,23,2020-04-10,TRUE
NA,"Albania",41.1533,20.1683,"4/11/20",433,23,2020-04-11,TRUE
NA,"Albania",41.1533,20.1683,"4/12/20",446,23,2020-04-12,TRUE
NA,"Albania",41.1533,20.1683,"4/13/20",467,23,2020-04-13,TRUE
NA,"Albania",41.1533,20.1683,"4/14/20",475,24,2020-04-14,TRUE
NA,"Albania",41.1533,20.1683,"4/15/20",494,25,2020-04-15,TRUE
NA,"Algeria",28.0339,1.6596,"1/22/20",0,0,2020-01-22,TRUE
NA,"Algeria",28.0339,1.6596,"1/23/20",0,0,2020-01-23,TRUE
NA,"Algeria",28.0339,1.6596,"1/24/20",0,0,2020-01-24,TRUE
NA,"Algeria",28.0339,1.6596,"1/25/20",0,0,2020-01-25,TRUE
NA,"Algeria",28.0339,1.6596,"1/26/20",0,0,2020-01-26,TRUE
