"weekly_correlation","solution_diff","solved_ifr","sir_total_deaths","sir_total_observed_deaths","sir_observed_to_date","actual_to_date","projected_to_date","it","initial_r0","incubation_period","distancing_effect","prop_susceptible","initial_shutdown","missing_death_rate"
0.951527588786301,2869.72876902296,0.00520170084451521,45056,29286.4,15645.5,17669,18294.6666666667,2113,2.5,5,0.6,0.6,2020-03-07,0.35
0.889076595390177,2870.40522960035,0.0284129022241428,35529,23093.85,16691.35,17669,18294.6666666667,2101,2,4,0.6,0.6,2020-03-07,0.35
0.888017639359929,2875.16505375217,0.0036238276853735,60317,33174.35,16029.75,17669,18294.6666666667,3985,3,6.5,0.45,0.4,2020-03-07,0.45
0.931338559248822,2880.99972885138,0.0383888860906173,73956,51769.2,20414.8,17669,18294.6666666667,204,2.75,6.5,0.65,0.3,2020-03-07,0.3
0.860165011042465,2885.76801851593,0.00377925969945709,31039,21727.3,14963.9,17669,18294.6666666667,37,2.25,4,0.45,0.3,2020-03-07,0.3
0.966572897817366,2893.96747102589,0.00203275913262821,37660,26362,20047.3,17669,18294.6666666667,270,3,6,0.4,0.4,2020-03-07,0.3
0.986069673599829,2906.24938093212,0.00477253516304308,67640,43966,13307.45,17669,18294.6666666667,2380,3,7,0.6,0.7,2020-03-07,0.35
0.915812199470933,2913.44753972547,0.0158515916146821,52133,33886.45,17332.9,17669,18294.6666666667,1424,2.75,6,0.65,0.3,2020-03-07,0.35
0.935510033926684,2914.11372080394,0.00606112895800715,77365,30946,16933.2,17669,18294.6666666667,7643,2.5,5,0.45,0.4,2020-03-07,0.6
0.875475865046202,2928.7961941596,0.00296447390950598,53152,29233.6,18558.65,17669,18294.6666666667,3950,3,6.5,0.4,0.4,2020-03-07,0.45
0.947510240231597,2939.16129382365,0.0191121937252199,79951,39975.5,14477,17669,18294.6666666667,5257,2.25,4.5,0.55,0.4,2020-03-07,0.5
0.942346746191436,2959.47422609786,0.0130483646387989,96780,62907,17486.95,17669,18294.6666666667,1838,2.5,5.5,0.55,0.5,2020-03-07,0.35
0.909233637223525,2960.48195734294,0.00130671927942779,32574,19544.4,14718,17669,18294.6666666667,3473,2.5,4.5,0.45,0.7,2020-03-07,0.4
0.90034581797293,2969.84873905723,0.00403816181112836,44168,30917.6,17882.2,17669,18294.6666666667,13,2.5,5,0.4,0.3,2020-03-07,0.3
0.845431503692862,2980.80159199417,0.01094413813708,50662,32930.3,17491.5,17669,18294.6666666667,2205,3,7,0.7,0.6,2020-03-07,0.35
0.929466817175536,2986.36155587424,0.0347276406298126,125238,87666.6,13347.6,17669,18294.6666666667,868,2.5,6.5,0.55,0.6,2020-03-07,0.3
0.980071904346637,2996.32628389274,0.00224378964073106,35191,24633.7,18113.2,17669,18294.6666666667,1052,2.25,4,0.5,0.7,2020-03-07,0.3
0.870616174025608,3003.06096373807,0.0214039853849382,49135,34394.5,20407.8,17669,18294.6666666667,974,2.75,6.5,0.7,0.6,2020-03-07,0.3
0.867401302898552,3011.85417326977,0.00561393236142604,57054,25674.3,18479.7,17669,18294.6666666667,6570,3,6,0.65,0.4,2020-03-07,0.55
0.957356389450441,3016.74749431311,0.00262429909365306,46684,18673.6,14876,17669,18294.6666666667,7883,2.5,4.5,0.45,0.5,2020-03-07,0.6
0.71615121697107,3030.27098349291,0.0383951446854483,38740,25181,16536.65,17669,18294.6666666667,2193,2.5,6,0.7,0.6,2020-03-07,0.35
0.949994828235049,3043.04260597568,0.0361564806753489,66129,29758.05,14395.5,17669,18294.6666666667,7012,2.25,5,0.6,0.6,2020-03-07,0.55
0.919299258094902,3051.79827652133,0.0325470034101397,199237,129504.05,13399.1,17669,18294.6666666667,1609,2.75,7,0.55,0.4,2020-03-07,0.35
0.890210924921858,3055.09655517649,0.00252281041992569,46095,32266.5,15358,17669,18294.6666666667,1063,2.5,5,0.5,0.7,2020-03-07,0.3
0.817194498094139,3069.33054737842,0.0312836654487448,231361,161952.7,11513.6,17669,18294.6666666667,542,2.25,5.5,0.45,0.5,2020-03-07,0.3
0.805404408566914,3074.68134772088,0.0384346710636117,24536,17175.2,14091,17669,18294.6666666667,421,2,4,0.65,0.4,2020-03-07,0.3
0.934639480849727,3099.29721058605,0.00815447700656589,49073,34351.1,13772.5,17669,18294.6666666667,1138,2.5,5.5,0.6,0.7,2020-03-07,0.3
