GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CBU001,CBU002,CBU003,CBU004,CBU005,CBU006,CBU007,CBU008,CBU009,CBU010,CBU011,CBU012,CBU013,CBU014,CBU015,CBU016,CBU017,CBU018,CBU019,CBU020,CBU021,CBU022,CBU023,CBU024,CBU025,CBU026,CBU027,CBU028,CBU029,CBU030,CBU031,CBU032,CBW001,CBW002,CBW003,CBW004,CBW005
"G130","1970","Georgia","13",,,,,,,,,,,,,,"Georgia",65666,149779,112188,61715,49350,46163,39566,35006,66578,149193,120385,72110,62411,57316,49421,53932,486,758,1962,1214,643,339,210,249,507,817,1006,1211,1017,327,228,306,3387516,1190779,2455,5931,2894
"G150","1970","Hawaii","15",,,,,,,,,,,,,,"Hawaii",423,748,2125,897,455,204,93,40,451,663,512,562,232,99,38,31,21174,49821,39528,28005,27887,28407,22348,16866,20054,47620,40939,29129,32570,28483,14945,15052,298160,7573,1126,443292,18410
"G160","1970","Idaho","16",,,,,,,,,,,,,,"Idaho",94,212,566,134,120,71,54,55,112,221,147,102,87,67,56,32,693,1477,1193,762,586,543,307,313,709,1486,1131,730,634,479,255,337,698802,2130,6687,3212,1736
"G170","1970","Illinois","17",,,,,,,,,,,,,,"Illinois",78414,180808,117918,84036,75248,60995,40946,34732,79245,181392,136832,104435,89239,68881,47802,44751,4847,7776,7790,8908,5795,4020,2426,2278,4629,7529,8384,9624,6337,3656,1840,2082,9600381,1425674,11413,48808,27700
"G180","1970","Indiana","18",,,,,,,,,,,,,,"Indiana",19088,45136,32521,19279,17980,16008,11602,10328,19151,45381,34608,22280,21262,17619,12682,12539,858,1419,1564,1420,917,572,411,527,765,1506,1641,1578,1253,551,368,531,4820324,357464,3887,6892,5102
"G190","1970","Iowa","19",,,,,,,,,,,,,,"Iowa",1961,4110,3248,1753,1514,1315,994,1063,1801,4097,3354,1922,1675,1432,1095,1262,562,880,941,851,429,259,176,244,632,952,949,879,533,286,204,241,2782762,32596,2992,3420,2606
"G200","1970","Kansas","20",,,,,,,,,,,,,,"Kansas",5556,13326,11466,5715,4928,4276,3507,4158,5752,13115,9756,6039,5471,4727,3997,5188,866,1679,2414,1447,882,645,406,482,806,1652,1983,1413,1209,681,418,550,2122068,106977,8672,4298,4563
"G210","1970","Kentucky","21",,,,,,,,,,,,,,"Kentucky",11421,27787,24798,10959,10361,10607,9488,10818,12341,27627,21711,13257,12634,12538,11089,13856,263,448,879,554,338,169,127,215,302,437,607,608,545,239,169,282,2971232,241292,1599,2800,1783
"G220","1970","Louisiana","22",,,,,,,,,,,,,,"Louisiana",62534,141613,100922,50555,43513,41267,36583,38747,63057,139879,109240,61673,55635,49977,42921,50618,661,1304,1456,1049,727,472,414,538,649,1294,1231,1108,903,475,381,363,2539547,1088734,5366,4278,3381
"G230","1970","Maine","23",,,,,,,,,,,,,,"Maine",143,298,563,234,176,88,52,64,141,348,224,184,109,64,43,69,243,457,389,334,234,118,96,135,242,429,301,346,270,143,102,133,985276,2800,2195,1202,575
"G240","1970","Maryland","24",,,,,,,,,,,,,,"Maryland",37024,87548,61603,41972,37354,32247,22163,17763,37060,87122,68248,48641,41999,35016,23731,21850,1666,2667,2365,2755,2008,1137,664,626,1577,2588,2261,3154,2450,1121,521,477,3193021,701341,4258,17932,5847
"G250","1970","Massachusetts","25",,,,,,,,,,,,,,"Massachusetts",10711,21399,15570,11269,8723,7190,3870,3841,10761,21666,17860,13846,10363,8100,5073,5575,1792,3084,3478,3289,2272,1572,1001,1407,1821,3072,3434,3267,2424,1369,982,1465,5477624,175817,4475,22389,8865
"G260","1970","Michigan","26",,,,,,,,,,,,,,"Michigan",55625,117181,90441,55596,51835,49415,33370,25681,55261,116529,99704,63866,59855,52020,34532,30155,2962,5155,4523,4422,2817,2111,1433,1575,2840,5021,4944,4674,3326,2064,1240,1436,7833474,991066,16854,17844,15845
"G270","1970","Minnesota","27",,,,,,,,,,,,,,"Minnesota",2219,4237,3437,2411,1868,1527,997,945,2108,4162,3394,2263,1790,1438,986,1086,2292,4536,3063,2448,1603,1127,845,838,2286,4407,3516,2678,1675,1165,758,828,3736038,34868,23128,7605,3332
"G280","1970","Mississippi","28",,,,,,,,,,,,,,"Mississippi",48280,112092,74968,30324,26579,28267,30232,35838,48771,110519,80129,38591,36477,36145,35188,43370,408,886,940,564,370,240,208,274,423,858,818,642,504,256,214,254,1393283,815770,4113,2671,1075
"G290","1970","Missouri","29",,,,,,,,,,,,,,"Missouri",24977,59820,41159,24469,21822,19863,16527,17659,25113,59655,45389,29857,27849,24196,19745,22072,854,1574,1951,1942,1008,700,487,863,883,1595,1763,1939,1372,722,456,725,4177495,480172,5405,8464,4965
"G300","1970","Montana","30",,,,,,,,,,,,,,"Montana",114,181,523,179,116,54,36,51,113,174,153,122,63,41,34,41,1977,4447,2708,1651,1251,1035,755,716,1921,4407,2913,1761,1467,1028,675,659,663043,1995,27130,1301,940
